Month,Main Category,Subcategory,Cost Amount
2015-07-01,Rooms Department,Guest Amenities,6915.53
2015-07-01,Rooms Department,Cleaning Supplies,26374.84
2015-07-01,Housekeeping & Laundry,Housekeeping Labor,23948.86
2015-07-01,Housekeeping & Laundry,Laundry,8388.62
2015-07-01,Housekeeping & Laundry,Linen Replacement,2640.72
2015-07-01,Utilities,Electricity,2546.94
2015-07-01,Utilities,Water,19150.21
2015-07-01,Utilities,Gas,11646.95
2015-07-01,Sales & Marketing,OTA Commissions,3967.35
2015-07-01,Sales & Marketing,Advertising,3555.14
2015-07-01,Sales & Marketing,Promotions,36808.94
2015-07-01,Maintenance & Repairs,Preventive Maintenance,7047.53
2015-07-01,Maintenance & Repairs,Repairs,21928.11
2015-07-01,Maintenance & Repairs,Equipment Maintenance,20695.29
2015-07-01,Administrative & General,Management Salaries,5263.53
2015-07-01,Administrative & General,IT Costs,13635.48
2015-07-01,Administrative & General,Insurance,21314.76
2015-08-01,Rooms Department,Front Office Labor,29131.91
2015-08-01,Rooms Department,Guest Amenities,3055.06
2015-08-01,Rooms Department,Cleaning Supplies,26018.48
2015-08-01,Housekeeping & Laundry,Housekeeping Labor,21076.78
2015-08-01,Housekeeping & Laundry,Laundry,10994.63
2015-08-01,Housekeeping & Laundry,Linen Replacement,22801.65
2015-08-01,Utilities,Electricity,30533.22
2015-08-01,Utilities,Water,14938.07
2015-08-01,Utilities,Gas,14821.74
2015-08-01,Sales & Marketing,OTA Commissions,22486.94
2015-08-01,Sales & Marketing,Advertising,13096.81
2015-08-01,Sales & Marketing,Promotions,9498.2
2015-08-01,Maintenance & Repairs,Preventive Maintenance,3418.79
2015-08-01,Maintenance & Repairs,Repairs,40603.02
2015-08-01,Maintenance & Repairs,Equipment Maintenance,10808.85
2015-08-01,Administrative & General,Management Salaries,21256.99
2015-08-01,Administrative & General,IT Costs,3210.37
2015-08-01,Administrative & General,Insurance,14991.67
2015-09-01,Rooms Department,Front Office Labor,7723.53
2015-09-01,Rooms Department,Guest Amenities,15109.09
2015-09-01,Rooms Department,Cleaning Supplies,2432.9
2015-09-01,Housekeeping & Laundry,Housekeeping Labor,14495.52
2015-09-01,Housekeeping & Laundry,Laundry,12251.55
2015-09-01,Housekeeping & Laundry,Linen Replacement,10732.57
2015-09-01,Utilities,Electricity,16152.32
2015-09-01,Utilities,Water,4108.92
2015-09-01,Utilities,Gas,7327.3
2015-09-01,Sales & Marketing,OTA Commissions,5083.55
2015-09-01,Sales & Marketing,Advertising,19410.78
2015-09-01,Sales & Marketing,Promotions,7132.43
2015-09-01,Maintenance & Repairs,Preventive Maintenance,11781.32
2015-09-01,Maintenance & Repairs,Repairs,7241.24
2015-09-01,Maintenance & Repairs,Equipment Maintenance,7662.74
2015-09-01,Administrative & General,Management Salaries,302.16
2015-09-01,Administrative & General,IT Costs,5555.08
2015-09-01,Administrative & General,Insurance,22341.12
2015-10-01,Rooms Department,Front Office Labor,9308.38
2015-10-01,Rooms Department,Guest Amenities,9941.27
2015-10-01,Rooms Department,Cleaning Supplies,4091.32
2015-10-01,Housekeeping & Laundry,Housekeeping Labor,3007.45
2015-10-01,Housekeeping & Laundry,Laundry,24393.64
2015-10-01,Housekeeping & Laundry,Linen Replacement,6297.52
2015-10-01,Utilities,Electricity,7574.9
2015-10-01,Utilities,Water,5451.0
2015-10-01,Utilities,Gas,9468.21
2015-10-01,Sales & Marketing,OTA Commissions,8374.74
2015-10-01,Sales & Marketing,Advertising,6989.44
2015-10-01,Sales & Marketing,Promotions,18190.69
2015-10-01,Maintenance & Repairs,Preventive Maintenance,18616.32
2015-10-01,Maintenance & Repairs,Repairs,8626.3
2015-10-01,Maintenance & Repairs,Equipment Maintenance,3939.86
2015-10-01,Administrative & General,Management Salaries,14604.97
2015-10-01,Administrative & General,IT Costs,1635.83
2015-10-01,Administrative & General,Insurance,6029.9
2015-11-01,Rooms Department,Front Office Labor,7602.95
2015-11-01,Rooms Department,Guest Amenities,13089.42
2015-11-01,Rooms Department,Cleaning Supplies,27853.01
2015-11-01,Housekeeping & Laundry,Housekeeping Labor,14524.64
2015-11-01,Housekeeping & Laundry,Laundry,3725.79
2015-11-01,Housekeeping & Laundry,Linen Replacement,13775.73
2015-11-01,Utilities,Electricity,13504.0
2015-11-01,Utilities,Water,9397.79
2015-11-01,Utilities,Gas,10720.17
2015-11-01,Sales & Marketing,OTA Commissions,14732.93
2015-11-01,Sales & Marketing,Advertising,12878.76
2015-11-01,Sales & Marketing,Promotions,8574.03
2015-11-01,Maintenance & Repairs,Preventive Maintenance,16179.09
2015-11-01,Maintenance & Repairs,Repairs,30299.74
2015-11-01,Maintenance & Repairs,Equipment Maintenance,3560.58
2015-11-01,Administrative & General,Management Salaries,12795.52
2015-11-01,Administrative & General,IT Costs,7722.38
2015-11-01,Administrative & General,Insurance,9045.97
2015-12-01,Rooms Department,Front Office Labor,16839.66
2015-12-01,Rooms Department,Guest Amenities,1604.01
2015-12-01,Rooms Department,Cleaning Supplies,27128.09
2015-12-01,Housekeeping & Laundry,Housekeeping Labor,298.75
2015-12-01,Housekeeping & Laundry,Laundry,22213.98
2015-12-01,Housekeeping & Laundry,Linen Replacement,18123.36
2015-12-01,Utilities,Electricity,26949.97
2015-12-01,Utilities,Water,3577.67
2015-12-01,Utilities,Gas,33614.31
2015-12-01,Sales & Marketing,OTA Commissions,43738.28
2015-12-01,Sales & Marketing,Advertising,18558.97
2015-12-01,Sales & Marketing,Promotions,4253.61
2015-12-01,Maintenance & Repairs,Preventive Maintenance,18144.7
2015-12-01,Maintenance & Repairs,Repairs,18672.21
2015-12-01,Maintenance & Repairs,Equipment Maintenance,10887.81
2015-12-01,Administrative & General,Management Salaries,30719.06
2015-12-01,Administrative & General,IT Costs,3079.57
2015-12-01,Administrative & General,Insurance,19879.1
2016-01-01,Rooms Department,Front Office Labor,29360.58
2016-01-01,Rooms Department,Guest Amenities,34947.43
2016-01-01,Rooms Department,Cleaning Supplies,2450.41
2016-01-01,Housekeeping & Laundry,Housekeeping Labor,16114.37
2016-01-01,Housekeeping & Laundry,Laundry,24739.43
2016-01-01,Housekeeping & Laundry,Linen Replacement,22597.1
2016-01-01,Utilities,Electricity,34185.47
2016-01-01,Utilities,Water,13515.63
2016-01-01,Utilities,Gas,2681.74
2016-01-01,Sales & Marketing,OTA Commissions,21942.66
2016-01-01,Sales & Marketing,Advertising,12443.57
2016-01-01,Sales & Marketing,Promotions,19655.49
2016-01-01,Maintenance & Repairs,Preventive Maintenance,4968.09
2016-01-01,Maintenance & Repairs,Repairs,28836.51
2016-01-01,Maintenance & Repairs,Equipment Maintenance,34349.31
2016-01-01,Administrative & General,Management Salaries,41874.26
2016-01-01,Administrative & General,IT Costs,8208.83
2016-01-01,Administrative & General,Insurance,3505.15
2016-02-01,Rooms Department,Front Office Labor,1103.43
2016-02-01,Rooms Department,Guest Amenities,9595.53
2016-02-01,Rooms Department,Cleaning Supplies,37615.94
2016-02-01,Housekeeping & Laundry,Housekeeping Labor,533.96
2016-02-01,Housekeeping & Laundry,Laundry,21239.03
2016-02-01,Housekeeping & Laundry,Linen Replacement,28784.39
2016-02-01,Utilities,Electricity,147.75
2016-02-01,Utilities,Water,32029.73
2016-02-01,Utilities,Gas,7100.21
2016-02-01,Sales & Marketing,OTA Commissions,6716.58
2016-02-01,Sales & Marketing,Advertising,16819.8
2016-02-01,Sales & Marketing,Promotions,12368.01
2016-02-01,Maintenance & Repairs,Preventive Maintenance,20742.08
2016-02-01,Maintenance & Repairs,Repairs,5050.26
2016-02-01,Maintenance & Repairs,Equipment Maintenance,4907.07
2016-02-01,Administrative & General,Management Salaries,5961.44
2016-02-01,Administrative & General,IT Costs,23519.8
2016-02-01,Administrative & General,Insurance,490.57
2016-03-01,Rooms Department,Front Office Labor,25819.14
2016-03-01,Rooms Department,Guest Amenities,30898.08
2016-03-01,Rooms Department,Cleaning Supplies,2427.95
2016-03-01,Housekeeping & Laundry,Housekeeping Labor,13179.31
2016-03-01,Housekeeping & Laundry,Laundry,11564.53
2016-03-01,Housekeeping & Laundry,Linen Replacement,29774.48
2016-03-01,Utilities,Electricity,5216.56
2016-03-01,Utilities,Water,27328.5
2016-03-01,Utilities,Gas,33556.57
2016-03-01,Sales & Marketing,OTA Commissions,28579.41
2016-03-01,Sales & Marketing,Advertising,3417.57
2016-03-01,Sales & Marketing,Promotions,24425.15
2016-03-01,Maintenance & Repairs,Preventive Maintenance,19309.65
2016-03-01,Maintenance & Repairs,Repairs,22912.5
2016-03-01,Maintenance & Repairs,Equipment Maintenance,12698.3
2016-03-01,Administrative & General,Management Salaries,18345.2
2016-03-01,Administrative & General,IT Costs,22609.58
2016-03-01,Administrative & General,Insurance,7938.1
2016-04-01,Rooms Department,Front Office Labor,3651.94
2016-04-01,Rooms Department,Guest Amenities,18118.66
2016-04-01,Rooms Department,Cleaning Supplies,9647.3
2016-04-01,Housekeeping & Laundry,Housekeeping Labor,13125.07
2016-04-01,Housekeeping & Laundry,Laundry,16591.57
2016-04-01,Housekeeping & Laundry,Linen Replacement,602.47
2016-04-01,Utilities,Electricity,2480.18
2016-04-01,Utilities,Water,6237.15
2016-04-01,Utilities,Gas,20075.48
2016-04-01,Sales & Marketing,OTA Commissions,14356.95
2016-04-01,Sales & Marketing,Advertising,3934.97
2016-04-01,Sales & Marketing,Promotions,20600.78
2016-04-01,Maintenance & Repairs,Preventive Maintenance,2678.37
2016-04-01,Maintenance & Repairs,Repairs,5175.56
2016-04-01,Maintenance & Repairs,Equipment Maintenance,13675.25
2016-04-01,Administrative & General,Management Salaries,13096.05
2016-04-01,Administrative & General,IT Costs,545.45
2016-04-01,Administrative & General,Insurance,24041.77
2016-05-01,Rooms Department,Front Office Labor,9196.64
2016-05-01,Rooms Department,Guest Amenities,15367.52
2016-05-01,Rooms Department,Cleaning Supplies,8502.67
2016-05-01,Housekeeping & Laundry,Housekeeping Labor,11654.49
2016-05-01,Housekeeping & Laundry,Laundry,4995.25
2016-05-01,Housekeeping & Laundry,Linen Replacement,2578.02
2016-05-01,Utilities,Electricity,13204.23
2016-05-01,Utilities,Water,5270.24
2016-05-01,Utilities,Gas,12448.69
2016-05-01,Sales & Marketing,OTA Commissions,11180.85
2016-05-01,Sales & Marketing,Advertising,11666.32
2016-05-01,Sales & Marketing,Promotions,1495.24
2016-05-01,Maintenance & Repairs,Preventive Maintenance,14279.89
2016-05-01,Maintenance & Repairs,Repairs,719.47
2016-05-01,Maintenance & Repairs,Equipment Maintenance,9137.03
2016-05-01,Administrative & General,Management Salaries,2424.74
2016-05-01,Administrative & General,IT Costs,21758.36
2016-05-01,Administrative & General,Insurance,2399.02
2016-06-01,Rooms Department,Front Office Labor,31898.96
2016-06-01,Rooms Department,Guest Amenities,4610.71
2016-06-01,Rooms Department,Cleaning Supplies,2656.15
2016-06-01,Housekeeping & Laundry,Housekeeping Labor,26689.21
2016-06-01,Housekeeping & Laundry,Laundry,1737.96
2016-06-01,Housekeeping & Laundry,Linen Replacement,7219.99
2016-06-01,Utilities,Electricity,8962.75
2016-06-01,Utilities,Water,7039.16
2016-06-01,Utilities,Gas,21650.01
2016-06-01,Sales & Marketing,OTA Commissions,13490.22
2016-06-01,Sales & Marketing,Advertising,2491.44
2016-06-01,Sales & Marketing,Promotions,12459.67
2016-06-01,Maintenance & Repairs,Preventive Maintenance,8813.1
2016-06-01,Maintenance & Repairs,Repairs,7986.21
2016-06-01,Maintenance & Repairs,Equipment Maintenance,18272.02
2016-06-01,Administrative & General,Management Salaries,15767.94
2016-06-01,Administrative & General,IT Costs,21285.78
2016-06-01,Administrative & General,Insurance,2265.06
2016-07-01,Rooms Department,Front Office Labor,7592.15
2016-07-01,Rooms Department,Guest Amenities,25723.63
2016-07-01,Rooms Department,Cleaning Supplies,2449.83
2016-07-01,Housekeeping & Laundry,Housekeeping Labor,14432.46
2016-07-01,Housekeeping & Laundry,Laundry,3735.17
2016-07-01,Housekeeping & Laundry,Linen Replacement,19991.36
2016-07-01,Utilities,Electricity,2975.57
2016-07-01,Utilities,Water,13003.88
2016-07-01,Utilities,Gas,17135.78
2016-07-01,Sales & Marketing,OTA Commissions,17784.27
2016-07-01,Sales & Marketing,Advertising,26685.59
2016-07-01,Sales & Marketing,Promotions,4536.75
2016-07-01,Maintenance & Repairs,Preventive Maintenance,18602.53
2016-07-01,Maintenance & Repairs,Repairs,9608.59
2016-07-01,Maintenance & Repairs,Equipment Maintenance,396.83
2016-07-01,Administrative & General,Management Salaries,21113.26
2016-07-01,Administrative & General,IT Costs,2804.16
2016-07-01,Administrative & General,Insurance,6223.18
2016-08-01,Rooms Department,Front Office Labor,6677.1
2016-08-01,Rooms Department,Guest Amenities,16094.49
2016-08-01,Rooms Department,Cleaning Supplies,42029.16
2016-08-01,Housekeeping & Laundry,Housekeeping Labor,8256.19
2016-08-01,Housekeeping & Laundry,Laundry,20348.87
2016-08-01,Housekeeping & Laundry,Linen Replacement,16111.97
2016-08-01,Utilities,Electricity,2141.65
2016-08-01,Utilities,Water,26537.31
2016-08-01,Utilities,Gas,14598.66
2016-08-01,Sales & Marketing,OTA Commissions,11773.66
2016-08-01,Sales & Marketing,Advertising,10675.9
2016-08-01,Sales & Marketing,Promotions,25647.72
2016-08-01,Maintenance & Repairs,Preventive Maintenance,25952.93
2016-08-01,Maintenance & Repairs,Repairs,28531.83
2016-08-01,Maintenance & Repairs,Equipment Maintenance,9653.91
2016-08-01,Administrative & General,Management Salaries,10481.56
2016-08-01,Administrative & General,IT Costs,35452.94
2016-08-01,Administrative & General,Insurance,15359.9
2016-09-01,Rooms Department,Front Office Labor,20674.62
2016-09-01,Rooms Department,Guest Amenities,10395.56
2016-09-01,Rooms Department,Cleaning Supplies,5252.08
2016-09-01,Housekeeping & Laundry,Housekeeping Labor,7157.22
2016-09-01,Housekeeping & Laundry,Laundry,2620.52
2016-09-01,Housekeeping & Laundry,Linen Replacement,25806.69
2016-09-01,Utilities,Electricity,15568.82
2016-09-01,Utilities,Water,12906.72
2016-09-01,Utilities,Gas,6955.69
2016-09-01,Sales & Marketing,OTA Commissions,17877.94
2016-09-01,Sales & Marketing,Advertising,7688.53
2016-09-01,Sales & Marketing,Promotions,16693.93
2016-09-01,Maintenance & Repairs,Preventive Maintenance,23287.82
2016-09-01,Maintenance & Repairs,Repairs,21663.91
2016-09-01,Maintenance & Repairs,Equipment Maintenance,6895.67
2016-09-01,Administrative & General,Management Salaries,12621.45
2016-09-01,Administrative & General,IT Costs,33296.88
2016-09-01,Administrative & General,Insurance,5784.7
2016-10-01,Rooms Department,Front Office Labor,30273.04
2016-10-01,Rooms Department,Guest Amenities,3797.83
2016-10-01,Rooms Department,Cleaning Supplies,7596.76
2016-10-01,Housekeeping & Laundry,Housekeeping Labor,21460.75
2016-10-01,Housekeeping & Laundry,Laundry,2828.55
2016-10-01,Housekeeping & Laundry,Linen Replacement,19924.68
2016-10-01,Utilities,Electricity,13928.2
2016-10-01,Utilities,Water,6203.71
2016-10-01,Utilities,Gas,27945.07
2016-10-01,Sales & Marketing,OTA Commissions,32472.5
2016-10-01,Sales & Marketing,Advertising,1975.62
2016-10-01,Sales & Marketing,Promotions,9635.15
2016-10-01,Maintenance & Repairs,Preventive Maintenance,13533.96
2016-10-01,Maintenance & Repairs,Repairs,10508.67
2016-10-01,Maintenance & Repairs,Equipment Maintenance,5530.11
2016-10-01,Administrative & General,Management Salaries,21837.37
2016-10-01,Administrative & General,IT Costs,16511.49
2016-10-01,Administrative & General,Insurance,7317.7
2016-11-01,Rooms Department,Front Office Labor,752.17
2016-11-01,Rooms Department,Guest Amenities,6060.81
2016-11-01,Rooms Department,Cleaning Supplies,30920.83
2016-11-01,Housekeeping & Laundry,Housekeeping Labor,23619.29
2016-11-01,Housekeeping & Laundry,Laundry,6145.43
2016-11-01,Housekeeping & Laundry,Linen Replacement,22099.8
2016-11-01,Utilities,Electricity,23804.51
2016-11-01,Utilities,Water,18808.16
2016-11-01,Utilities,Gas,13677.22
2016-11-01,Sales & Marketing,OTA Commissions,4859.64
2016-11-01,Sales & Marketing,Advertising,15204.67
2016-11-01,Sales & Marketing,Promotions,24275.22
2016-11-01,Maintenance & Repairs,Preventive Maintenance,16517.83
2016-11-01,Maintenance & Repairs,Repairs,17797.75
2016-11-01,Maintenance & Repairs,Equipment Maintenance,9298.77
2016-11-01,Administrative & General,Management Salaries,11519.57
2016-11-01,Administrative & General,IT Costs,28050.93
2016-11-01,Administrative & General,Insurance,14931.41
2016-12-01,Rooms Department,Front Office Labor,4500.56
2016-12-01,Rooms Department,Guest Amenities,33568.18
2016-12-01,Rooms Department,Cleaning Supplies,5677.25
2016-12-01,Housekeeping & Laundry,Housekeeping Labor,32232.96
2016-12-01,Housekeeping & Laundry,Laundry,19502.62
2016-12-01,Housekeeping & Laundry,Linen Replacement,20461.3
2016-12-01,Utilities,Electricity,5632.29
2016-12-01,Utilities,Water,44994.18
2016-12-01,Utilities,Gas,6280.72
2016-12-01,Sales & Marketing,OTA Commissions,6913.73
2016-12-01,Sales & Marketing,Advertising,927.07
2016-12-01,Sales & Marketing,Promotions,66538.57
2016-12-01,Maintenance & Repairs,Preventive Maintenance,16635.12
2016-12-01,Maintenance & Repairs,Repairs,12709.28
2016-12-01,Maintenance & Repairs,Equipment Maintenance,38377.68
2016-12-01,Administrative & General,Management Salaries,30619.75
2016-12-01,Administrative & General,IT Costs,23542.93
2016-12-01,Administrative & General,Insurance,16161.21
2017-01-01,Rooms Department,Front Office Labor,41140.85
2017-01-01,Rooms Department,Guest Amenities,2573.24
2017-01-01,Rooms Department,Cleaning Supplies,17395.75
2017-01-01,Housekeeping & Laundry,Housekeeping Labor,18577.45
2017-01-01,Housekeeping & Laundry,Laundry,19000.36
2017-01-01,Housekeeping & Laundry,Linen Replacement,10174.54
2017-01-01,Utilities,Electricity,14115.45
2017-01-01,Utilities,Water,10470.81
2017-01-01,Utilities,Gas,22020.57
2017-01-01,Sales & Marketing,OTA Commissions,9730.19
2017-01-01,Sales & Marketing,Advertising,8755.75
2017-01-01,Sales & Marketing,Promotions,26059.19
2017-01-01,Maintenance & Repairs,Preventive Maintenance,3670.33
2017-01-01,Maintenance & Repairs,Repairs,11120.89
2017-01-01,Maintenance & Repairs,Equipment Maintenance,31547.82
2017-01-01,Administrative & General,Management Salaries,17791.75
2017-01-01,Administrative & General,IT Costs,12832.92
2017-01-01,Administrative & General,Insurance,20009.69
2017-02-01,Rooms Department,Front Office Labor,9983.85
2017-02-01,Rooms Department,Guest Amenities,30978.35
2017-02-01,Rooms Department,Cleaning Supplies,18896.19
2017-02-01,Housekeeping & Laundry,Housekeeping Labor,18996.03
2017-02-01,Housekeeping & Laundry,Laundry,8456.45
2017-02-01,Housekeeping & Laundry,Linen Replacement,38583.61
2017-02-01,Utilities,Electricity,31052.75
2017-02-01,Utilities,Water,3308.41
2017-02-01,Utilities,Gas,12829.33
2017-02-01,Sales & Marketing,OTA Commissions,53327.25
2017-02-01,Sales & Marketing,Advertising,22942.84
2017-02-01,Sales & Marketing,Promotions,893.5
2017-02-01,Maintenance & Repairs,Preventive Maintenance,23414.34
2017-02-01,Maintenance & Repairs,Repairs,25348.1
2017-02-01,Maintenance & Repairs,Equipment Maintenance,16113.32
2017-02-01,Administrative & General,Management Salaries,35516.22
2017-02-01,Administrative & General,IT Costs,5984.42
2017-02-01,Administrative & General,Insurance,2306.17
2017-03-01,Rooms Department,Front Office Labor,11114.48
2017-03-01,Rooms Department,Guest Amenities,7138.85
2017-03-01,Rooms Department,Cleaning Supplies,15967.67
2017-03-01,Housekeeping & Laundry,Housekeeping Labor,6690.92
2017-03-01,Housekeeping & Laundry,Laundry,20209.4
2017-03-01,Housekeeping & Laundry,Linen Replacement,21738.21
2017-03-01,Utilities,Electricity,8883.18
2017-03-01,Utilities,Water,1619.17
2017-03-01,Utilities,Gas,27979.27
2017-03-01,Sales & Marketing,OTA Commissions,25204.96
2017-03-01,Sales & Marketing,Advertising,1617.91
2017-03-01,Sales & Marketing,Promotions,10889.67
2017-03-01,Maintenance & Repairs,Preventive Maintenance,5020.93
2017-03-01,Maintenance & Repairs,Repairs,18406.28
2017-03-01,Maintenance & Repairs,Equipment Maintenance,28335.68
2017-03-01,Administrative & General,Management Salaries,5434.34
2017-03-01,Administrative & General,IT Costs,16269.16
2017-03-01,Administrative & General,Insurance,22621.93
2017-04-01,Rooms Department,Front Office Labor,14613.15
2017-04-01,Rooms Department,Guest Amenities,3863.7
2017-04-01,Rooms Department,Cleaning Supplies,6468.53
2017-04-01,Housekeeping & Laundry,Housekeeping Labor,17836.19
2017-04-01,Housekeeping & Laundry,Laundry,16927.14
2017-04-01,Housekeeping & Laundry,Linen Replacement,680.81
2017-04-01,Utilities,Electricity,5055.52
2017-04-01,Utilities,Water,2073.01
2017-04-01,Utilities,Gas,19273.13
2017-04-01,Sales & Marketing,OTA Commissions,6879.8
2017-04-01,Sales & Marketing,Advertising,5608.73
2017-04-01,Sales & Marketing,Promotions,22193.93
2017-04-01,Maintenance & Repairs,Preventive Maintenance,423.83
2017-04-01,Maintenance & Repairs,Repairs,27120.08
2017-04-01,Maintenance & Repairs,Equipment Maintenance,2115.56
2017-04-01,Administrative & General,Management Salaries,2487.87
2017-04-01,Administrative & General,IT Costs,139.72
2017-04-01,Administrative & General,Insurance,18616.64
2017-05-01,Rooms Department,Front Office Labor,25985.08
2017-05-01,Rooms Department,Guest Amenities,12423.6
2017-05-01,Rooms Department,Cleaning Supplies,2794.36
2017-05-01,Housekeeping & Laundry,Housekeeping Labor,24445.89
2017-05-01,Housekeeping & Laundry,Laundry,2011.7
2017-05-01,Housekeeping & Laundry,Linen Replacement,9479.42
2017-05-01,Utilities,Electricity,5248.36
2017-05-01,Utilities,Water,28048.68
